epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19539.1,1.16112,0.58446,1.05966,0.95243,0.94123,0.97278,0.73849,1.03345,0.44532,1.01126,0.005842,0.005842,0.005842
44,20033.7,1.15765,0.584,1.05943,0.95134,0.94159,0.97282,0.73864,1.03187,0.44396,1.0105,0.005743,0.005743,0.005743
45,20530.8,1.15268,0.57755,1.05724,0.95159,0.94185,0.97295,0.73905,1.03062,0.44243,1.00985,0.005644,0.005644,0.005644
46,21026,1.15434,0.58021,1.05952,0.95354,0.94065,0.97331,0.73969,1.02887,0.44131,1.00932,0.005545,0.005545,0.005545
47,21522.5,1.15299,0.5749,1.05505,0.95273,0.94233,0.97355,0.73971,1.02705,0.4401,1.00849,0.005446,0.005446,0.005446
48,22015.8,1.15292,0.57761,1.05552,0.95373,0.94288,0.97394,0.74092,1.02578,0.43892,1.00799,0.005347,0.005347,0.005347
49,22522.9,1.15091,0.5733,1.0532,0.95203,0.94462,0.97395,0.74185,1.02464,0.43857,1.00741,0.005248,0.005248,0.005248
50,23020.6,1.14806,0.57377,1.0539,0.95311,0.94553,0.97422,0.74276,1.02341,0.43796,1.00687,0.005149,0.005149,0.005149
51,23515.6,1.14349,0.5696,1.05282,0.95395,0.9455,0.9745,0.74358,1.02235,0.43743,1.00639,0.00505,0.00505,0.00505
52,24014.2,1.14736,0.56813,1.05158,0.9536,0.94554,0.97455,0.7441,1.02146,0.43656,1.00598,0.004951,0.004951,0.004951
53,24509.6,1.13812,0.5634,1.0496,0.95345,0.94588,0.97462,0.74451,1.02049,0.43574,1.00546,0.004852,0.004852,0.004852
54,25007.4,1.13881,0.56434,1.05066,0.95306,0.9463,0.97456,0.745,1.01957,0.43488,1.00511,0.004753,0.004753,0.004753
55,25502.3,1.12842,0.55877,1.04619,0.95393,0.94588,0.97477,0.74551,1.01859,0.43421,1.00461,0.004654,0.004654,0.004654
56,25998.4,1.1292,0.55857,1.04409,0.95425,0.94609,0.97501,0.74547,1.01771,0.43369,1.00416,0.004555,0.004555,0.004555
57,26493.5,1.12605,0.55644,1.04452,0.95418,0.94617,0.97507,0.74592,1.01682,0.43299,1.00366,0.004456,0.004456,0.004456
58,26991.8,1.12923,0.55483,1.04607,0.95404,0.94669,0.97526,0.7471,1.016,0.43228,1.0033,0.004357,0.004357,0.004357
59,27489.9,1.12546,0.55414,1.04565,0.95343,0.94736,0.97531,0.74771,1.01513,0.43183,1.00295,0.004258,0.004258,0.004258
60,27983.6,1.1188,0.55099,1.04139,0.95323,0.94773,0.97532,0.74813,1.01438,0.4312,1.00256,0.004159,0.004159,0.004159
61,28481.1,1.11779,0.54749,1.03939,0.95432,0.94804,0.97549,0.74836,1.01359,0.4305,1.00211,0.00406,0.00406,0.00406
